gene	Rho	N	P	p.adj	stat
OG0010559	-0.3330531034953723	35	0.019016473672300513	0.7379564495808381	-1.7208700135104023
OG0010415	-0.3330531034953723	35	0.019016473672300513	0.7379564495808381	-1.7208700135104023
OG0013336	0.3330531034953723	35	0.019016473672300513	0.7379564495808381	1.7208700135104023
OG0011164	0.3330531034953723	35	0.019016473672300513	0.7379564495808381	1.7208700135104023
OG0005680	-0.3330531034953723	35	0.019016473672300513	0.7379564495808381	-1.7208700135104023
OG0009609	0.3330531034953723	35	0.019016473672300513	0.7379564495808381	1.7208700135104023
OG0008823	0.3377602647365992	34	0.019172484755223103	0.7379564495808381	1.7173215988823685
OG0009551	-0.3377602647365992	34	0.019172484755223103	0.7379564495808381	-1.7173215988823685
OG0005612	0.3377602647365992	34	0.019172484755223103	0.7379564495808381	1.7173215988823685
OG0014238	0.3377602647365992	34	0.019172484755223103	0.7379564495808381	1.7173215988823685
OG0011530	0.3377602647365992	34	0.019172484755223103	0.7379564495808381	1.7173215988823685
OG0008528	-0.3377602647365992	34	0.019172484755223103	0.7379564495808381	-1.7173215988823685
OG0010568	0.3377602647365992	34	0.019172484755223103	0.7379564495808381	1.7173215988823685
OG0008375	-0.34267220842117097	33	0.01933911532693269	0.7379564495808381	-1.7135633967172959
OG0012691	-0.34267220842117097	33	0.01933911532693269	0.7379564495808381	-1.7135633967172959
OG0008650	-0.34267220842117097	33	0.01933911532693269	0.7379564495808381	-1.7135633967172959
OG0009632	0.34267220842117097	33	0.01933911532693269	0.7379564495808381	1.7135633967172959
OG0012490	-0.34267220842117097	33	0.01933911532693269	0.7379564495808381	-1.7135633967172959
OG0013242	-0.34780417182012624	32	0.019517481182177755	0.7379564495808381	-1.7095762306890492
OG0005542	0.34780417182012624	32	0.019517481182177755	0.7379564495808381	1.7095762306890492
OG0009405	0.34780417182012624	32	0.019517481182177755	0.7379564495808381	1.7095762306890492
OG0012149	0.3646984043128985	29	0.020136751550346343	0.7379564495808381	1.6960105882782615
OG0012575	0.3646984043128985	29	0.020136751550346343	0.7379564495808381	1.6960105882782615
OG0013963	0.3774256780481986	27	0.02063755824397219	0.7379564495808381	1.6853416880477432
OG0008926	-0.38430756913220915	26	0.020921335337794035	0.7379564495808381	-1.679410599378016
OG0005926	0.38430756913220915	26	0.020921335337794035	0.7379564495808381	1.679410599378016
OG0006373	0.38430756913220915	26	0.020921335337794035	0.7379564495808381	1.679410599378016
OG0010756	0.4074406768332538	23	0.021946771003246837	0.7379564495808381	1.6586293678423027
OG0005590	0.4253849796976627	21	0.022824427925561008	0.7379564495808381	1.6416000988708
OG0013535	0.32296058520763377	35	0.022957511791199207	0.7379564495808381	1.6390751839530786
OG0012103	-0.32296058520763377	35	0.022957511791199207	0.7379564495808381	-1.6390751839530786
OG0011230	0.32296058520763377	35	0.022957511791199207	0.7379564495808381	1.6390751839530786
OG0007520	-0.32296058520763377	35	0.022957511791199207	0.7379564495808381	-1.6390751839530786
OG0012658	-0.32296058520763377	35	0.022957511791199207	0.7379564495808381	-1.6390751839530786
OG0006429	0.3272052564635805	34	0.023270292009950767	0.7379564495808381	1.6331981668845388
OG0011625	-0.3272052564635805	34	0.023270292009950767	0.7379564495808381	-1.6331981668845388
OG0008686	0.3316182662140364	33	0.023606144040052998	0.7379564495808381	1.6269749472241557
OG0005128	-0.3316182662140364	33	0.023606144040052998	0.7379564495808381	-1.6269749472241557
OG0013637	-0.3316182662140364	33	0.023606144040052998	0.7379564495808381	-1.6269749472241557
OG0011816	-0.33621069942612203	32	0.023967679822589266	0.7379564495808381	-1.6203740055582094
