Family ID	0.0873348	0.34116	0.70806	1.28827	2.57518	
N0.HOG0000004	0	6.86735e-226	8.19421e-174	5.02244e-135	4.10749e-97	
N0.HOG0000040	1.15535e-177	3.36104e-128	2.09284e-102	1.0811e-82	5.94308e-63	
N0.HOG0000042	4.44547e-129	5.73444e-93	1.89421e-74	1.02479e-60	1.74208e-47	
N0.HOG0000060	5.36403e-45	3.0659e-35	2.52549e-30	9.74022e-27	1.15315e-23	
N0.HOG0000065	1.95069e-220	2.47822e-157	1.05314e-125	3.29925e-102	5.93882e-79	
N0.HOG0000066	6.19653e-237	2.05153e-166	1.63981e-130	5.84493e-104	1.50115e-78	
N0.HOG0000089	1.84415e-88	5.62101e-63	3.7443e-50	5.44001e-41	7.48027e-33	
N0.HOG0000095	5.5943e-35	4.43829e-27	2.70099e-23	7.13659e-21	3.25943e-19	
N0.HOG0000096	3.68911e-28	2.48004e-22	1.93411e-19	1.9828e-17	2.85212e-16	
N0.HOG0000097	1.14438e-82	2.40937e-58	2.33298e-46	3.60532e-38	2.94673e-31	
N0.HOG0000111	1.06977e-33	1.12963e-25	9.38645e-22	2.69666e-19	7.28655e-18	
N0.HOG0000127	1.7259e-05	1.25645e-05	6.38093e-06	1.75739e-06	8.10365e-08	
N0.HOG0000132	2.39308e-05	2.5808e-05	1.59629e-05	4.88268e-06	2.31367e-07	
N0.HOG0000138	2.62466e-44	6.38514e-34	1.41371e-28	5.63047e-25	2.70131e-22	
N0.HOG0000139	1.37344e-12	1.204e-10	7.13629e-10	1.02231e-09	1.70954e-10	
N0.HOG0000154	0.00151752	0.00119722	0.000529831	0.000110643	3.01269e-06	
N0.HOG0000159	2.61362e-63	1.42141e-47	2.73142e-39	4.32212e-33	4.72659e-27	
N0.HOG0000161	3.12386e-70	1.19386e-50	1.86869e-41	1.56568e-35	9.94191e-31	
N0.HOG0000167	3.31543e-05	4.30108e-05	2.73708e-05	8.14513e-06	3.50871e-07	
N0.HOG0000188	3.27036e-51	3.97105e-39	8.89543e-33	4.93831e-28	1.07884e-23	
N0.HOG0000191	9.85753e-36	1.03944e-27	1.66743e-23	1.47019e-20	2.90321e-18	
N0.HOG0000194	2.92139e-05	3.43285e-05	2.07839e-05	5.99831e-06	2.55078e-07	
N0.HOG0000196	0.00148121	0.00113545	0.000492098	0.000100642	2.67313e-06	
N0.HOG0000199	9.01791e-11	1.00553e-09	2.21502e-09	2.04689e-09	3.89845e-10	
N0.HOG0000213	1.24496e-62	2.46089e-46	2.14428e-38	7.68872e-33	4.83347e-28	
N0.HOG0000233	6.93415e-25	9.53546e-20	4.76847e-17	2.82649e-15	3.13738e-14	
N0.HOG0000235	1.66263e-10	1.13582e-08	5.42643e-08	7.47156e-08	1.51396e-08	
N0.HOG0000236	3.43058e-24	2.21164e-18	1.01052e-15	3.10441e-14	8.89944e-14	
N0.HOG0000237	2.04426e-116	1.05931e-85	1.11828e-69	2.57774e-57	3.45284e-45	
N0.HOG0000240	2.9776e-33	1.67637e-26	7.78769e-23	3.22188e-20	4.29368e-18	
N0.HOG0000243	2.46425e-46	2.81191e-34	3.61175e-28	7.01424e-24	2.11318e-20	
N0.HOG0000246	2.12528e-64	7.31931e-47	5.43e-38	1.36706e-31	5.4804e-26	
N0.HOG0000249	3.80449e-33	2.66884e-26	1.41303e-22	8.43021e-20	2.02432e-17	
N0.HOG0000253	0.00109442	0.000582659	0.000211433	3.95982e-05	1.03588e-06	
N0.HOG0000254	0.00107249	0.000552284	0.00019674	3.66583e-05	9.72251e-07	
N0.HOG0000265	1.65729e-49	4.41847e-37	1.49462e-30	6.04673e-26	3.37854e-22	
N0.HOG0000271	5.35939e-59	3.77679e-44	8.87599e-37	1.44643e-31	3.74647e-27	
N0.HOG0000277	3.29978e-92	2.74006e-69	4.38512e-57	1.01201e-47	1.7242e-38	
